epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
89,271.503,0.50675,0.6805,0.7568,0.91293,0,0.78622,0.85652,0.84985,0.76794,0.78622,0.85652,0.84985,0.72353,0.45065,0.73579,0.90739,0.87529,0,0.00021471,0.00021471,0.00021471
90,274.48,0.54956,0.74482,0.78686,0.93672,0,0.8084,0.85487,0.86056,0.75289,0.8084,0.85487,0.86056,0.7342,0.47589,0.73304,0.88821,0.88475,0,0.000198206,0.000198206,0.000198206
91,279.746,0.50878,0.69065,0.85815,0.92613,0,0.7863,0.87826,0.86461,0.75065,0.7863,0.87826,0.86461,0.74045,0.49073,0.7579,0.90545,0.88602,0,0.000181703,0.000181703,0.000181703
92,282.459,0.52881,0.71756,0.92715,0.93827,0,0.77612,0.83478,0.85535,0.73925,0.77612,0.83478,0.85535,0.72837,0.49672,0.73828,0.95948,0.89293,0,0.0001652,0.0001652,0.0001652
93,285.173,0.48016,0.64327,0.8106,0.90797,0,0.789,0.83478,0.8451,0.72996,0.789,0.83478,0.8451,0.70983,0.50251,0.76722,1.0021,0.9025,0,0.000148696,0.000148696,0.000148696
94,287.897,0.46776,0.70902,0.71136,0.89871,0,0.80227,0.79171,0.85041,0.73158,0.80227,0.79171,0.85041,0.72218,0.49516,0.78345,0.97596,0.90197,0,0.000132193,0.000132193,0.000132193
95,290.637,0.50316,0.72547,0.80244,0.92344,0,0.80277,0.79839,0.83931,0.72612,0.80277,0.79839,0.83931,0.70812,0.495,0.81232,0.98605,0.90387,0,0.00011569,0.00011569,0.00011569
96,293.418,0.52555,0.75778,0.77689,0.9244,0,0.80559,0.81304,0.83214,0.71529,0.80559,0.81304,0.83214,0.69589,0.49025,0.83084,0.9915,0.90524,0,9.91865e-05,9.91865e-05,9.91865e-05
97,296.145,0.44136,0.63926,0.7236,0.90472,0,0.79724,0.81304,0.83689,0.71637,0.79724,0.81304,0.83689,0.70158,0.47956,0.85335,0.99979,0.89906,0,8.26832e-05,8.26832e-05,8.26832e-05
98,298.859,0.44894,0.5913,0.73119,0.90636,0,0.80711,0.83365,0.82782,0.71659,0.80711,0.83365,0.82782,0.69839,0.46193,0.88276,1.00246,0.88787,0,6.61799e-05,6.61799e-05,6.61799e-05
99,301.605,0.47272,0.61926,0.74872,0.90671,0,0.80053,0.83478,0.82472,0.71089,0.80053,0.83478,0.82472,0.68923,0.46015,0.91774,1.00857,0.88587,0,4.96766e-05,4.96766e-05,4.96766e-05
100,304.336,0.49484,0.72515,0.79504,0.9542,0,0.80586,0.83282,0.82967,0.71471,0.80586,0.83282,0.82967,0.70465,0.47376,0.95162,1.01395,0.89974,0,3.31733e-05,3.31733e-05,3.31733e-05
